ID	HeatJan	CoolJuly	HeatTotal	CoolTotal	zone_area	bldg_height	op_S_area	op_E_area	op_N_area	op_W_area	gl_S_area	gl_E_area	gl_N_area	gl_W_area	roof_op_area	op_belowgrade_area	bldg_mass_type	roof_op_uValue	op_uValue	gl_uValue	gl_solar_trans	zone_occ_density	zone_occ_metabolic_rate	zone_app_heat_flow_rate	zone_light_heat_flow_rate	zone_freshair_per_occ	totalocc	totalapp	totallight	avgOccWeek	avgAppWeek	avgLightWeek
72	5.72	17.27	13.85	10.7	5975.709339	8.8392	813.8770819	429.52327	865.8749134	389.2312215	212.7758325	120.3326626	178.8569326	114.5448032	1678.516385	533.9509321	3	0.233396	0.517256	1.07236	0.3	14.44632053	108.8792572	11.41118813	15.54799461	12.52671051	131.2454101	83.69011754	47.99286693	0.443808413	0.570843232	0.300151372
73	0.18	27.63	0.22	0.04	4394.685404	19.17192	347.225112	151.8128577	379.0722741	283.5772393	99.32264006	462.2297852	114.3915132	453.8406407	674.4110383	0	5	0.176624	0.217626	0.75696	0.39	9.442316055	113.1609802	20.16158485	28.79167557	13.79576874	63.44667982	49.76248673	80.80903534	0.562581348	0.204417002	0.959573483
74	4.6	19.67	8.9	6.94	8687.177464	33.528	1540.323113	950.6303568	1646.139675	1135.906889	42.7353984	48.21667776	47.3805504	26.9418816	1170.987077	383.6431037	4	0.22078	0.545642	3.65864	0.76	11.09846497	140.4113464	12.36127377	14.14507675	11.37359142	109.1214946	105.8347003	52.45237602	0.878482857	0.394124043	0.047022271
75	7.84	19.99	21.34	10.06	5388.37632	5	791.5339008	746.6617325	791.5339008	775.647481	0	28.98574848	0	0	5388.37632	0	1	0.561412	0.48887	3.65864	0.76	12.84329319	145.3611755	15.49322414	6.165691376	14.72642803	58.71963353	128.1662856	42.58430237	0.889199406	0.515416014	0.273806071
76	1.94	30.63	3.52	0.3	8204.731978	15.5448	568.8917654	771.8012951	427.0009524	469.2253841	103.5404381	175.6146165	98.21709389	166.1292161	1344.585698	474.0842131	4	0.592952	0.826348	1.54546	0.73	14.00279045	169.6651459	20.98865128	18.63953018	12.93478298	138.9233766	59.13080891	127.392103	0.923007226	0.356049263	0.423634839
77	0.17	22.5	0.27	0.16	11779.08354	14.3256	383.6338134	621.2519188	406.9524764	837.6695505	307.100289	659.8066804	134.8859238	681.2394117	2215.979052	1511.532461	3	0.138776	0.164008	1.98702	0.43	12.62853241	126.745491	6.492633343	30.04986954	12.4277935	110.525623	86.45929383	65.21146168	0.231153011	0.456709826	0.89032011
78	2.4	31.1	4.55	0.58	6693.571129	18.5928	1080.991903	430.4383649	1006.753083	424.1023776	219.8457539	11.03688115	231.8488266	6.373148544	1044.276621	433.9315192	4	0.18924	0.987202	3.504094	0.73	14.0758028	149.1357727	19.87974548	21.54600143	10.9676075	130.9039383	96.95827025	101.13152	0.600047255	0.925941943	0.078430092
79	3.18	25.07	6.16	2.95	11182.83183	14.6304	742.1745156	889.2864795	759.2965459	753.3414611	300.1604319	347.2158217	204.386688	347.2158217	1821.549905	457.7239878	4	0.59926	0.451022	3.28016	0.73	10.33172417	148.3246613	21.01967621	7.411981583	12.88375282	85.51479849	75.1734666	118.0348633	0.461326599	0.044413759	0.89799335
80	2.02	19.3	3.65	1.78	1185.164081	4.8768	249.1659533	112.951516	249.7419521	112.951516	42.08507712	11.53855757	40.30133875	11.53855757	297.4755341	0	4	0.192394	0.214472	1.98702	0.62	11.09337902	117.0996017	13.29285812	28.03538704	10.5575161	105.027383	56.21354131	41.48353313	0.704749346	0.572786057	0.140026021
81	6.36	13.79	14.09	15.43	8529.985521	15.02664	566.0117712	938.0512852	959.1170495	786.8841036	197.9485073	219.1211101	167.7596645	205.3110732	1841.709865	646.3729008	4	0.135622	1.173288	3.504094	0.73	9.595935822	94.39067078	8.856090546	15.37605476	12.15631676	21.83896447	35.16359743	49.51913116	0.108583814	0.550884974	0.579801536
